,company,revenues,revenue_change,profits,assets,industry,sector,country,employees,total_stockholder_equity,Component 1,Component 2
330,Commonwealth Bank of Australia,32287,-14.3,6712.9,694565,Banks: Commercial and Savings,Financials,Australia,45129,44816,0.4917571566497184,-1.1659193726486279
331,Sinomach,32237,-8.2,502.0,39142,Industrial Machinery,Industrials,China,115390,8930,-0.9235665797123147,0.2235303236335603
332,Fresenius,32161,4.9,1761.6,48984,Health Care: Medical Facilities,Health Care,Germany,232873,13186,-0.5255261495159274,0.4986401820548614
333,China Aerospace Science & Technology,32094,5.0,1996.2,55721,Aerospace and Defense,Aerospace & Defense,China,170357,21440,-0.5279011770329717,0.2031007423609109
334,Shaanxi Coal & Chemical Industry,31926,5.3,-254.4,64151,"Mining, Crude-Oil Production",Energy,China,123559,5769,-1.01425614721767,0.20096167133864606
335,China Evergrande Group,31828,50.2,2368.8,194384,Real estate,Financials,China,89250,22618,-0.5932157044577215,-0.5447080709266546
336,Jiangxi Copper,31680,0.4,20.4,16108,"Mining, Crude-Oil Production",Energy,China,25460,2967,-1.2609943478396726,-0.10242591460215758
337,Sompo Holdings,31559,16.4,1535.7,107092,Insurance: Property and Casualty (Stock),Financials,Japan,47430,8424,-0.9577342664460126,-0.3124824623290664
338,China Poly Group,31508,18.1,744.1,95657,Real estate,Financials,China,76425,7676,-0.9918022337797014,-0.15405925458843633
339,Chubb,31469,65.7,4135.0,159786,Insurance: Property and Casualty (Stock),Financials,Switzerland,31000,48275,-0.2945483838806586,-1.0334308932755545
340,Zhejiang Geely Holding Group,31430,19.5,1265.7,29749,Motor Vehicles and Parts,Motor Vehicles & Parts,China,60712,5896,-1.0559811912681194,-0.17713704611495318
341,Exelon,31360,6.5,1134.0,114904,Utilities,Energy,USA,34396,25837,-0.792614804387796,-0.3657449335445109
342,General Dynamics,31353,-0.4,2955.0,32872,Aerospace and Defense,Aerospace & Defense,USA,98800,10976,-0.7334852958197899,-0.030520682550743465
343,BT Group,31333,9.3,2484.6,52972,Telecommunications,Telecommunications,Britain,106400,10420,-0.7638452846672725,-0.05161794124526336
344,Canon,31271,-0.4,1385.0,44062,"Computers, Office Equipment",Technology,Japan,197673,23865,-0.5089134903983403,0.36681667301325066
345,Wuchan Zhongda Group,31185,7.3,324.3,11018,Trading,Wholesalers,China,18150,2900,-1.267521867851725,-0.1871555587299428
346,Mitsubishi Chemical Holdings,31158,5.6,1442.1,40064,Chemicals,Chemicals,Japan,69291,9796,-0.9504845529758691,-0.10102879819114827
347,BHP Billiton,30912,-40.9,-6385.0,118953,"Mining, Crude-Oil Production",Energy,Australia,26827,54290,-1.0877770609528008,0.16623571303190726
348,Toronto-Dominion Bank,30855,2.3,6646.1,878268,Banks: Commercial and Savings,Financials,Canada,81233,54148,0.7904999171409545,-1.3624451860094817
349,Subaru,30696,14.0,2605.8,24794,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,36668,13285,-0.897752653838172,-0.3429203472025305
350,Bridgestone,30678,-2.0,2441.3,31901,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,143616,20268,-0.5811417047939796,0.13372247775933213
351,Credit Suisse Group,30588,-13.0,-2750.7,806950,Banks: Commercial and Savings,Financials,Switzerland,47170,41237,-0.33560275298181064,-0.7659807875194372
352,China Aerospace Science & Industry,30582,9.7,1443.7,36999,Aerospace and Defense,Aerospace & Defense,China,148682,13654,-0.7541803915995944,0.16003817679506643
353,JFE Holdings,30539,6.8,627.0,38920,Metals,Materials,Japan,60439,15632,-0.9811750535813436,-0.1272580368582276
354,Mizuho Financial Group,30390,13.5,5570.1,1799736,Banks: Commercial and Savings,Financials,Japan,59179,62843,1.5055567960725762,-2.432923943267085
355,Gilead Sciences,30390,-6.9,13501.0,56977,Pharmaceuticals,Health Care,USA,9000,18887,0.1596398022547012,-0.9772115886205218
356,CHS,30347,-12.2,424.2,17318,Food Production,"Food, Beverages & Tobacco",USA,12157,7852,-1.187742700775433,-0.13525550432495248
357,Bharat Petroleum,30316,4.2,1300.5,16801,Petroleum Refining,Energy,India,13395,4747,-1.1654757359409291,-0.2620730340945043
358,3M,30109,-0.5,5050.0,32906,Miscellaneous,Industrials,USA,91584,10298,-0.5775008718088676,-0.18051599058652198
359,China Electronics,30010,-4.8,321.9,36575,"Electronics, Electrical Equip.",Technology,China,144659,4831,-0.9582907626170336,0.32426210235753394
360,CRH,29973,14.3,1374.6,33320,"Building Materials, Glass",Materials,Ireland,86778,14654,-0.8909729755362885,-0.10701849740060218
361,China State Shipbuilding,29877,-1.0,367.6,40773,Industrial Machinery,Industrials,China,68025,9164,-1.0621368704365803,-0.018419902398761533
362,Jiangsu Shagang Group,29862,-8.8,352.1,23720,Metals,Materials,China,35133,5584,-1.178535191195558,-0.06491344470225059
363,China COSCO Shipping,29743,29.5,1489.0,94792,Shipping,Transportation,China,106478,24148,-0.6961666583375671,-0.23301282901976372
364,Mazda Motor,29665,4.5,865.5,22660,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,48849,8455,-1.0893619147039852,-0.13221931981938465
365,State Power Investment,29493,-3.7,436.6,126068,Energy,Energy,China,127343,8477,-0.8708361133840286,0.13375326084446318
366,Taiwan Semiconductor Manufacturing,29388,10.6,10283.7,58535,Semiconductors and Other Electronic Components,Technology,Taiwan,46968,42174,0.19381341439521568,-0.8706677108720352
367,Vale,29363,14.7,3982.0,99014,"Mining, Crude-Oil Production",Energy,Brazil,73062,39042,-0.33746301468971185,-0.4801622304088366
368,Time Warner,29318,4.3,3926.0,65966,Entertainment,Media,USA,25000,24335,-0.6336702267845365,-0.5038370978038004
369,Shandong Energy Group,29299,16.6,39.2,39887,"Mining, Crude-Oil Production",Energy,China,179689,6575,-0.9238869757639278,0.32936595540757285
370,Suzuki Motor,29252,10.4,1476.2,27969,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,62992,10318,-0.9895328898011246,-0.1635008609747833
371,LyondellBasell Industries,29183,-10.9,3836.0,23442,Chemicals,Chemicals,Netherlands,13000,6048,-0.9045824361670867,-0.33496654718897884
372,Royal Philips,29003,1.1,1601.3,34068,Medical Products and Equipment,Health Care,Netherlands,114731,13289,-0.8206796222656868,0.061956414860114314
373,Charter Communications,29003,197.3,3522.0,149067,Telecommunications,Telecommunications,USA,91500,40139,-0.5342014843400915,-1.5270465682842256
374,Medtronic,28833,42.3,3538.0,99782,Medical Products and Equipment,Health Care,Ireland,98017,52063,-0.2106330542032069,-0.5853678999889801
375,Northwestern Mutual,28799,2.4,818.0,250441,"Insurance: Life, Health (Mutual)",Financials,USA,5646,20226,-0.8547813627161559,-0.5725631353788634
376,L’Oreal,28572,2.0,3434.5,37577,Household and Personal Products,Household Products,France,89331,25840,-0.5561963766344414,-0.201530704829765
377,Dalian Wanda Group,28483,4.0,110.3,152701,Real estate,Financials,China,155905,17237,-0.73386808903765,0.1413506686544457
378,Medipal Holdings,28277,12.1,267.7,13696,Wholesalers: Health Care,Wholesalers,Japan,15745,3607,-1.3021770124558034,-0.2550701810334324
379,China Huadian,28204,-10.3,360.6,112115,Utilities,Energy,China,107000,7947,-0.9417129470695176,0.10331691463096558
380,AIA Group,28196,21.1,4164.0,185074,"Insurance: Life, Health (stock)",Financials,China,20000,34984,-0.4270542713990665,-0.8126622506795356
381,Hindustan Petroleum,28166,-2.3,1228.1,12370,Petroleum Refining,Energy,India,10422,3245,-1.212782006118728,-0.24043624723936588
382,Migros Group,28155,-1.2,693.3,62536,Food and Drug Stores,Food & Drug Stores,Switzerland,77704,17132,-0.9146619699938963,-0.07021048115114846
383,Air France-KLM Group,27920,-3.4,875.8,24185,Airlines,Transportation,France,82175,1354,-1.1113518378097245,0.053940938802589045
384,Compass Group,27837,2.5,1408.5,13693,Food Services,"Hotels, Restaurants & Leisure",Britain,527180,3254,-0.14220966521551476,1.6971002946093916
385,Schlumberger,27810,-21.6,-1687.0,77956,Oil & Gas Equipment Services,Energy,USA,100000,41078,-0.7594534503710146,0.14497641238714465
386,Kansai Electric Power,27792,2.8,1299.3,61513,Utilities,Energy,Japan,32666,11205,-1.0335150815482013,-0.2766991114326431
387,Quanta Computer,27715,-12.7,469.3,18229,"Computers, Office Equipment",Technology,Taiwan,92698,4123,-1.0878953175147192,0.16390467916353776
388,Westpac Banking,27704,-10.8,5477.0,642083,Banks: Commercial and Savings,Financials,Australia,35280,44468,0.26018156696655764,-1.1457959173333754
389,Coop Group,27669,2.8,482.1,18369,Food and Drug Stores,Food & Drug Stores,Switzerland,73451,8250,-1.0974315050174666,-0.020672731743331983
390,Facebook,27638,54.2,10217.0,64961,Internet Services and Retailing,Technology,USA,17048,59194,0.26185368582158425,-1.3359779282682522
391,Travelers Cos.,27625,3.1,3014.0,100245,Insurance: Property and Casualty (Stock),Financials,USA,30900,23221,-0.7047509690180412,-0.4706308539614041
392,Capital One Financial,27519,9.6,3751.0,357033,Banks: Commercial and Savings,Financials,USA,47300,47514,-0.10404860118695199,-0.8518480343184185
393,Twenty-First Century Fox,27326,-5.7,2755.0,48365,Entertainment,Media,USA,21500,13661,-0.8981558237758235,-0.3497593866856071
394,China Guodian,27315,-10.5,268.7,114611,Energy,Energy,China,124056,7496,-0.9269704286174083,0.1658228498747464
395,LafargeHolcim,27308,11.4,1817.9,68521,"Building Materials, Glass",Materials,Switzerland,90903,30337,-0.6452944651320375,-0.2258947901881304
396,Schneider Electric,27307,-7.6,1935.2,44137,"Electronics, Electrical Equip.",Technology,France,143901,21614,-0.6262336504663103,0.1454698231981259
397,China Electronics Technology Group,27292,3.3,1611.6,35898,Aerospace and Defense,Aerospace & Defense,China,158064,15895,-0.7175200558883085,0.1852366194164976
398,USAA,27131,11.4,1779.1,147290,Insurance: Property and Casualty (Stock),Financials,USA,29943,28840,-0.7279881056436343,-0.5327704205984012
399,World Fuel Services,27016,-11.1,126.5,5413,Energy,Energy,USA,5000,1925,-1.3459653440780062,-0.14726254998734614
400,Phoenix Pharmahandel,26976,5.2,135.4,9292,Wholesalers: Health Care,Wholesalers,Germany,26611,2732,-1.3099031652464175,-0.16941445051895365
401,Veolia Environnement,26972,-2.6,423.6,40022,Utilities,Energy,France,156225,8173,-0.9150424473205562,0.303477432335241
402,National Australia Bank,26958,-21.1,259.0,594967,Banks: Commercial and Savings,Financials,Australia,34263,39244,-0.3146220561968669,-0.7415932489561099
403,Philip Morris International,26685,-0.4,6967.0,36851,Tobacco,"Food, Beverages & Tobacco",USA,79500,-12688,-0.7364617096189645,-0.2703827701957084
404,Deere,26644,-7.7,1523.9,57981,Construction and Farm Machinery,Industrials,USA,56767,6520,-1.0204933466860293,-0.12160417916667635
405,East Japan Railway,26587,11.3,2565.0,71009,Railroads,Transportation,Japan,85834,23253,-0.6782148123151699,-0.26459831116244026
406,Achmea,26494,2.8,-423.5,98096,"Insurance: Life, Health (Mutual)",Financials,Netherlands,14921,10308,-1.2203463732359976,-0.29663083850146343
407,Kraft Heinz,26487,44.4,3632.0,120480,Food Consumer Products,"Food, Beverages & Tobacco",USA,41000,57358,-0.263983812905777,-0.8872528469186168
408,Cathay Life Insurance,26292,14.9,934.0,172442,"Insurance: Life, Health (stock)",Financials,Taiwan,36578,11212,-0.9967882379034705,-0.4406387501651645
409,Tech Data,26235,-0.5,195.1,7932,Wholesalers: Electronics and Office Equipment,Wholesalers,USA,9500,2170,-1.3473240950686862,-0.20765992985942655
410,Samsung Life Insurance,26222,7.0,1770.3,219157,"Insurance: Life, Health (stock)",Financials,South Korea,5284,22064,-0.8043794881296138,-0.653512815213593
411,Avnet,26219,-6.1,506.5,11240,Wholesalers: Electronics and Office Equipment,Wholesalers,USA,17700,4691,-1.2614132789461547,-0.1741885296824446
412,Nokia,26113,73.4,-847.1,47354,Network and Other Communications Equipment,Technology,Finland,102687,21192,-1.087634549357649,-0.3545542579643303
413,Enbridge,26073,-1.4,1560.9,64011,Pipelines,Energy,Canada,7733,15949,-1.0128641316783331,-0.4005766106729547
414,Gas Natural Fenosa,26070,-11.5,1489.6,49688,Utilities,Energy,Spain,17229,16057,-0.9970690153009234,-0.286298072536381
415,Australia & New Zealand Banking Group,26032,-10.1,4199.9,699976,Banks: Commercial and Savings,Financials,Australia,46554,44237,0.19498672964451452,-1.1109654395247477
416,LM Ericsson,26004,-11.2,200.5,31199,Network and Other Communications Equipment,Technology,Sweden,111464,15395,-0.945553507006047,0.16418080565907986
417,Sumitomo Electric Industries,25975,6.3,992.7,26062,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,248330,11769,-0.6637128920913337,0.5621021304662697
418,Mondelez International,25923,-12.5,1659.0,61538,Food Consumer Products,"Food, Beverages & Tobacco",USA,90000,25161,-0.7119585865337424,-0.06288246081450967
419,Old Mutual,25913,23.8,769.3,211943,"Insurance: Life, Health (stock)",Financials,Britain,68527,9949,-0.9439580240649685,-0.4004261257490188
420,Idemitsu Kosan,25888,-1.0,813.7,23711,Petroleum Refining,Energy,Japan,9139,3852,-1.2607849158528905,-0.2662207893264303
421,Bank of Nova Scotia,25817,2.8,5362.2,668805,Banks: Commercial and Savings,Financials,Canada,88901,41975,0.31523339283618834,-1.04920763483699
422,Macy’s,25778,-4.8,619.0,19851,General Merchandisers,Retailing,USA,148300,4323,-0.985954853265775,0.3010986962969173
423,Mapfre Group,25775,3.9,857.5,71590,Insurance: Property and Casualty (Stock),Financials,Spain,37020,9625,-1.0970963472066353,-0.2651390178606381
424,La Poste,25760,0.8,938.9,257526,"Mail, Package, and Freight Delivery",Transportation,France,240407,11513,-0.4886239980645211,0.33108211280420197
425,Inditex,25733,11.6,3485.0,21203,Specialty Retailers,Retailing,Spain,162450,13738,-0.6025388120973699,0.06019131725493421
426,AbbVie,25638,12.2,5953.0,66099,Pharmaceuticals,Health Care,USA,30000,4636,-0.7238565886914008,-0.5930456246912138
427,Datong Coal Mine Group,25630,-19.8,-214.8,40012,"Mining, Crude-Oil Production",Energy,China,162542,3169,-1.0112376793376887,0.47307706398616456
428,Lotte Shopping,25444,-1.2,144.9,34710,General Merchandisers,Retailing,South Korea,26357,13502,-1.1645489694883004,-0.21910935268241022
429,Standard Life,25279,46.9,496.7,235324,Diversified Financials,Financials,Britain,6302,5370,-1.1698199519091932,-0.7714290238598468
430,Shanxi Coking Coal Group,25123,-19.1,-10.0,39206,"Mining, Crude-Oil Production",Energy,China,209817,4318,-0.8880818323025719,0.6300729777831434
431,Adecco Group,25112,2.9,799.5,10651,Temporary Help,Business Services,Switzerland,33000,3918,-1.236111079331692,-0.19151200272979335
432,International Airlines Group,24956,-1.6,2135.4,28868,Airlines,Transportation,Britain,63387,5649,-1.0109778579145858,-0.14840842586495337
433,McDonald’s,24622,-3.1,4686.5,31024,Food Services,"Hotels, Restaurants & Leisure",USA,375000,-2204,-0.23190982966377394,0.9439134607057493
434,NEC,24596,4.5,252.0,24091,Information Technology Services,Technology,Japan,107729,7668,-1.0830366144419425,0.08065458354570897
435,DuPont,24594,-12.0,2513.0,39964,Chemicals,Chemicals,USA,46000,9998,-0.9399962034435375,-0.20708363234190855
436,China National Aviation Fuel Group,24588,11.3,320.0,6093,Wholesalers: Diversified,Wholesalers,China,11739,2263,-1.363907720869512,-0.2900382196545378
437,Northrop Grumman,24508,4.2,2200.0,25614,Aerospace and Defense,Aerospace & Defense,USA,67000,5259,-1.0173192357468495,-0.17177610395977164
438,Brookfield Asset Management,24411,22.6,1651.0,159826,Diversified Financials,Financials,Canada,55700,26453,-0.7471365997249224,-0.5219241567151536
439,Mercantil Servicios Financieros,24403,50.3,2004.2,148659,Banks: Commercial and Savings,Financials,Venezuela,8370,7550,-1.0875339938621815,-0.795195199484457
440,SAP,24397,5.8,4031.9,46696,Computer Software,Technology,Germany,84183,27817,-0.5272807427837207,-0.33356863325821867
441,ConocoPhillips,24360,-21.3,-3615.0,89772,"Mining, Crude-Oil Production",Energy,USA,13300,34974,-1.2124128430175045,-0.10288779211663303
442,Yangquan Coal Industry Group,24284,-14.2,11.1,30793,"Mining, Crude-Oil Production",Energy,China,146236,1783,-1.0695370605719399,0.3675750800579474
443,Danone,24267,-2.4,1902.1,46350,Food Consumer Products,"Food, Beverages & Tobacco",France,99187,13825,-0.8508155259057731,-0.05286239976836012
444,Samsung C&T,24217,105.2,92.5,36816,"Engineering, Construction",Engineering & Construction,South Korea,13898,15155,-1.3277599174533639,-0.9162249374885681
445,Shanxi LuAn Mining Group,24087,-15.9,-106.9,29026,"Mining, Crude-Oil Production",Energy,China,95666,2542,-1.1762728162036449,0.18698728697657752
446,Raytheon,24069,3.5,2211.0,30052,Aerospace and Defense,Aerospace & Defense,USA,63000,10066,-0.9660628127177212,-0.21267582173243677
447,Midea Group,24060,8.5,2210.4,24549,"Electronics, Electrical Equip.",Technology,China,126418,8796,-0.8624833149887852,0.011630061110031415
448,Chubu Electric Power,24028,1.1,1058.2,48580,Utilities,Energy,Japan,30635,14695,-1.063469306042294,-0.2986551182317403
449,BAE Systems,24011,-6.4,1232.3,28383,Aerospace and Defense,Aerospace & Defense,Britain,76000,4247,-1.0878338840909656,-0.024945395907071163
450,Andeavor,24005,-14.7,734.0,20398,Petroleum Refining,Energy,USA,6308,5465,-1.2575332416683314,-0.21277556083030524
451,China Datang,23871,-9.7,243.9,101631,Energy,Energy,China,97091,7371,-1.0324084407717784,0.04017142817557457
452,Flex,23863,-2.3,319.6,12593,Semiconductors and Other Electronic Components,Technology,Singapore,200000,2645,-0.9557692135150067,0.49704756147437607
453,Arrow Electronics,23825,2.3,522.8,14206,Wholesalers: Electronics and Office Equipment,Wholesalers,USA,18700,4413,-1.2937980894207757,-0.24561450917261218
454,Compal Electronics,23773,-10.9,252.1,10769,"Computers, Office Equipment",Technology,Taiwan,64728,3283,-1.223278154430128,0.03164792318782011
455,Yango Financial Holding,23657,11.5,159.2,24231,Diversified Financials,Financials,China,10234,1925,-1.3800842448800075,-0.3140655943234514
456,Qualcomm,23554,-6.8,5705.0,52359,Semiconductors and Other Electronic Components,Technology,USA,30500,31778,-0.4237685119417625,-0.5861604853159528
457,Alfresa Holdings,23551,9.7,285.1,11273,Wholesalers: Health Care,Wholesalers,Japan,13217,2993,-1.3590464623004124,-0.2911805252572995
458,Alibaba Group Holding,23517,47.9,6489.5,73538,Internet Services and Retailing,Technology,China,50097,40454,-0.2626437714695701,-0.9371527878420003
459,Koc Holding,23456,-8.1,1144.2,25047,Energy,Energy,Turkey,95456,7345,-1.024415233961854,0.04944503445346275
460,Progressive,23441,12.4,1031.0,33428,Insurance: Property and Casualty (Stock),Financials,USA,31721,7957,-1.1789464317134908,-0.3215629120747267
461,Duke Energy,23369,-1.0,2152.0,132761,Utilities,Energy,USA,28798,41033,-0.5817314185713102,-0.5566337841840879
462,Michelin,23120,-1.7,1853.4,26705,Motor Vehicles and Parts,Motor Vehicles & Parts,France,105654,11178,-0.902827597538919,-0.009223164937446916
463,Country Garden Holdings,23044,27.9,1733.6,85124,Real estate,Financials,China,94450,10091,-0.9413177756219587,-0.2767741570529394
464,Heineken Holding,23044,-0.7,861.5,41469,Beverages,"Food, Beverages & Tobacco",Netherlands,73525,6958,-1.1002252565213329,-0.08208223299274736
465,Enterprise Products Partners,23022,-14.8,2513.1,52194,Pipelines,Energy,USA,6800,22047,-0.8763798121043012,-0.41929734002205504
466,AstraZeneca,23002,-6.9,3499.0,62526,Pharmaceuticals,Health Care,Britain,59700,14854,-0.7667750532334998,-0.29718384926284014
467,Amgen,22991,6.1,7722.0,77626,Pharmaceuticals,Health Care,USA,19200,29875,-0.2875845822614894,-0.8386906019068883
468,Rabobank Group,22956,-4.4,828.3,698790,Banks: Commercial and Savings,Financials,Netherlands,40029,27232,-0.37124988094291345,-0.9419294120280162
469,Altice,22953,42.2,-1722.5,84805,Telecommunications,Telecommunications,Netherlands,49732,-2668,-1.5234991019628112,-0.29119666438757347
470,Onex,22943,3.8,-130.0,42913,Semiconductors and Other Electronic Components,Technology,Canada,161000,-490,-1.106829008074236,0.30965534033543807
471,US Foods Holding,22919,-0.9,209.8,8945,Wholesalers: Food and Grocery,Wholesalers,USA,25000,2538,-1.341253353217749,-0.18071145154164378
472,Shanxi Jincheng Anthracite Coal Mining Group,22875,-17.0,3.0,32954,"Mining, Crude-Oil Production",Energy,China,135691,2988,-1.0858290527475247,0.3235424359014031
473,Randstad Holding,22873,7.3,650.2,9624,Temporary Help,Business Services,Netherlands,32280,4366,-1.2748170373708283,-0.2343425339050714
474,Tencent Holdings,22871,39.7,6185.9,56968,Internet Services and Retailing,Technology,China,38775,25128,-0.5084975881499855,-0.8394260360127276
475,LG Display,22840,-9.0,781.4,20606,"Electronics, Electrical Equip.",Technology,South Korea,49094,10729,-1.1205527117596117,-0.11886691044248471
476,Emirates Group,22799,0.3,340.3,33096,Airlines,Transportation,U.A.E,64768,9395,-1.1471103346685991,-0.09739650220559676
477,U.S. Bancorp,22744,5.8,5888.0,445964,Banks: Commercial and Savings,Financials,USA,71191,47298,0.16972915489171284,-0.9887560263368467
478,H & M Hennes & Mauritz,22618,4.6,2192.3,10681,Specialty Retailers,Retailing,Sweden,114586,6635,-0.9353792982442527,4.010817657788875e-05
479,Aflac,22559,8.1,2659.0,129819,"Insurance: Life, Health (stock)",Financials,USA,10212,20482,-0.845119744647374,-0.6266899111772338
480,Sodexo,22477,-2.0,707.2,15766,Food Services,"Hotels, Restaurants & Leisure",France,425594,4085,-0.4506064514570578,1.3162171359514911
481,Suning Commerce Group,22366,3.7,106.0,19738,Specialty Retailers,Retailing,China,60354,9455,-1.1969103557126228,-0.11252131623002969
482,GS Caltex,22207,-11.4,1221.1,15969,Petroleum Refining,Energy,South Korea,2949,8150,-1.213491317527252,-0.29570070190141645
483,Ultrapar Holdings,22167,-2.3,447.5,7426,Energy,Energy,Brazil,15173,2621,-1.3456377860206024,-0.22893338289872384
484,Xiamen C&D,22145,6.6,280.2,21729,Trading,Wholesalers,China,18381,3985,-1.337933206567115,-0.2809031811844138
485,Sears Holdings,22138,-12.0,-2221.0,9362,General Merchandisers,Retailing,USA,140000,-3824,-1.3962488147348957,0.4773787477062921
486,China General Technology,22113,-20.1,413.6,20860,"Engineering, Construction",Engineering & Construction,China,38589,5114,-1.235856474429797,-0.056496356701649986
487,National Grid,22036,-3.2,10150.6,82310,Utilities,Energy,Britain,22132,25463,-0.10639128873440239,-0.8994511012539996
488,Dollar General,21987,7.9,1251.1,11672,Specialty Retailers,Retailing,USA,121000,5406,-1.0328435906362927,0.05449153691380515
489,Telecom Italia,21941,-17.4,1999.4,74295,Telecommunications,Telecommunications,Italy,61227,22366,-0.796228821929381,-0.20140710062142403
490,Xiamen ITG Holding Group,21930,34.3,35.6,12161,Trading,Wholesalers,China,18454,1066,-1.4426744549245658,-0.41158767781760125
491,Xinjiang Guanghui Industry Investment,21919,31.1,251.8,31957,Trading,Wholesalers,China,65616,4563,-1.2628553708105335,-0.2587321328508395
492,Teva Pharmaceutical Industries,21903,11.5,329.0,92890,Pharmaceuticals,Health Care,Israel,56960,33337,-0.8481417449536787,-0.3643154615318892
493,New China Life Insurance,21796,-13.3,743.9,100609,"Insurance: Life, Health (stock)",Financials,China,54378,8507,-1.0775234786319232,-0.15281970958319882
494,Wm. Morrison Supermarkets,21741,-11.3,406.4,11630,Food and Drug Stores,Food & Drug Stores,Britain,77210,5111,-1.1803543545704562,0.0455466507396669
495,TUI,21655,-5.5,1151.7,16247,Travel Services,Business Services,Germany,66779,3006,-1.163991746583775,-0.06595178816175454
496,AutoNation,21609,3.6,430.5,10060,Specialty Retailers,Retailing,USA,26000,2310,-1.3399265913311775,-0.22817235112845974
